🏪 Trade & Economic Exchange Framework initialized!
🚀 INITIALIZING RESOURCES (Optimized)...
✅ RESOURCES INITIALIZED in 330 ms
   Resource ingestion: coal=18834, copper=30078, tin=14335, clay=18632, riverland-cells=18632
World start population target: 6756520 (seed 69)
worldsim_cli seed=69 config=C:\WS\WorldSimulation10028\data\sim_config.toml hash=a21f9f98ca482cc3 start=-5000 end=-4000 gpu=1
🏛️ Ransolgrad Tribe changed from Tribal to Chiefdom
🏛️ Quilingrad Tribe changed from Tribal to Chiefdom
🏛️ Old terviadus Tribe changed from Chiefdom to Kingdom
🏛️ New soldus Tribe changed from Tribal to Chiefdom
🏛️ North kinquilorland Tribe changed from Chiefdom to Kingdom
🏛️ Old dusnaland Tribe changed from Tribal to Chiefdom
🏛️ South nakinquiland Tribe changed from Tribal to Chiefdom
🏛️ New rombelstan Tribe changed from Chiefdom to Kingdom
🏛️ New solgarvialand Tribe changed from Tribal to Chiefdom
🏛️ South terkinquiland Tribe changed from Tribal to Chiefdom
🏛️ Garsolstan Tribe changed from Tribal to Chiefdom
🏛️ Great solquiviastan Tribe changed from Tribal to Chiefdom
🏛️ Old quidusmaria Tribe changed from Chiefdom to Kingdom
🏛️ New dusnastan Tribe changed from Chiefdom to Kingdom
🏛️ South ranmarsolland Tribe changed from Chiefdom to Kingdom
🏛️ Great dusquiland Tribe changed from Tribal to Chiefdom
🏛️ Old tergarlor Tribe changed from Tribal to Chiefdom
🏛️ North gardusgrad Tribe changed from Tribal to Chiefdom
🏛️ New lorviastan Tribe changed from Chiefdom to Kingdom
🏛️ Old duslinstan Tribe changed from Tribal to Chiefdom
🏛️ Old zenbel Tribe changed from Chiefdom to Kingdom
🏛️ South sollormar Tribe changed from Tribal to Chiefdom
🏛️ North solterzenia Kingdom changed from Kingdom to Dictatorship
🏛️ Great quigarran Tribe changed from Tribal to Chiefdom
🏛️ North ranbeldusgrad Tribe changed from Tribal to Chiefdom
🏛️ South quizengrad Tribe changed from Tribal to Chiefdom
🏛️ South margargaria Tribe changed from Chiefdom to Kingdom
🏛️ Great kinmarbel Tribe changed from Tribal to Chiefdom
🏛️ South duslorland Tribe changed from Tribal to Chiefdom
🏛️ North garranlorland Tribe changed from Chiefdom to Kingdom
🏛️ Ransolgrad Tribe changed from Kingdom to Dictatorship
🏛️ Great ranrania Tribe changed from Tribal to Chiefdom
🏛️ New terlingrad Tribe changed from Chiefdom to Kingdom
🏛️ South linloria Tribe changed from Tribal to Chiefdom
🏛️ North belvia Tribe changed from Chiefdom to Kingdom
🏛️ South terzenvialand Tribe changed from Chiefdom to Kingdom
🏛️ Great zenzenkinland Tribe changed from Chiefdom to Kingdom
🏛️ New solviarangrad Tribe changed from Tribal to Chiefdom
🏛️ New solquiland Tribe changed from Chiefdom to Kingdom
🏛️ Zenran Tribe changed from Chiefdom to Kingdom
🏛️ Great belkinland Tribe changed from Chiefdom to Kingdom
🏛️ New romvia Tribe changed from Tribal to Chiefdom
🏛️ Old terviadus Kingdom changed from Kingdom to Dictatorship
🏛️ New soldus Tribe changed from Chiefdom to Kingdom
🏛️ Old lorsolviaia Tribe changed from Chiefdom to Kingdom
🏛️ South nakinquiland Tribe changed from Chiefdom to Kingdom
🏛️ South terkinquiland Tribe changed from Chiefdom to Kingdom
🏛️ North naviaia Kingdom changed from Kingdom to Dictatorship
🏛️ Quiviagar Tribe changed from Tribal to Chiefdom
🏛️ Old zenlinbelia Tribe changed from Chiefdom to Kingdom
🏛️ Old tergarlor Tribe changed from Chiefdom to Kingdom
🏛️ Old lorranlingrad Tribe changed from Tribal to Chiefdom
🏛️ North solterzenia Kingdom changed from Dictatorship to Democracy
🏛️ North terviaquigrad Tribe changed from Tribal to Chiefdom
🏛️ Great linquigrad Tribe changed from Tribal to Chiefdom
🏛️ Great rannaia Tribe changed from Tribal to Chiefdom
🏛️ South margargaria Tribe changed from Kingdom to Dictatorship
🏛️ Old mardusgrad Tribe changed from Chiefdom to Kingdom
🏛️ Great kinmarbel Tribe changed from Chiefdom to Kingdom
🏛️ North ranmarran Tribe changed from Tribal to Chiefdom
🏛️ South duslorland Kingdom changed from Kingdom to Dictatorship
🏛️ Great ranrania Tribe changed from Chiefdom to Kingdom
🏛️ New terlingrad Tribe changed from Kingdom to Dictatorship
🏛️ South linloria Tribe changed from Chiefdom to Kingdom
🏛️ New zenzenlinstan Tribe changed from Tribal to Chiefdom
🏛️ North lorgargrad Tribe changed from Chiefdom to Kingdom
🏛️ New solviarangrad Tribe changed from Chiefdom to Kingdom
🏛️ Old lindusbel Tribe changed from Chiefdom to Kingdom
🏛️ New romvia Tribe changed from Chiefdom to Kingdom
🏛️ Terzenbelstan Tribe changed from Tribal to Chiefdom
🏛️ Old dusnaland Tribe changed from Chiefdom to Kingdom
🏛️ New rombelstan Tribe changed from Kingdom to Dictatorship
🏛️ New solgarvialand Tribe changed from Chiefdom to Kingdom
🏛️ North linranlingrad Tribe changed from Tribal to Chiefdom
🏛️ South terkinquiland Tribe changed from Kingdom to Dictatorship
🏛️ Great kinbelgrad Tribe changed from Tribal to Chiefdom
🏛️ Great solquiviastan Tribe changed from Chiefdom to Kingdom
🏛️ North naviaia Kingdom changed from Dictatorship to Democracy
🏛️ South lorkingrad Tribe changed from Tribal to Chiefdom
🏛️ South linranlorland Kingdom changed from Kingdom to Dictatorship
🏛️ New zenquibel Tribe changed from Chiefdom to Kingdom
🏛️ Great dusquiland Tribe changed from Chiefdom to Kingdom
🏛️ Old garlinquiland Kingdom changed from Kingdom to Dictatorship
🏛️ Old solkinquistan Tribe changed from Tribal to Chiefdom
🏛️ New lorviastan Tribe changed from Kingdom to Dictatorship
🏛️ Old duslinstan Tribe changed from Chiefdom to Kingdom
🏛️ North solterzenia Kingdom changed from Democracy to Dictatorship
🏛️ Great rannaia Kingdom changed from Kingdom to Dictatorship
🏛️ Great zennalor Tribe changed from Tribal to Chiefdom
🏛️ North lormarnaia Tribe changed from Chiefdom to Kingdom
🏛️ South margargaria Tribe changed from Dictatorship to Democracy
🏛️ South duslorland Kingdom changed from Dictatorship to Democracy
🏛️ Great linsolsol Kingdom changed from Kingdom to Dictatorship
🏛️ South belzenmar Tribe changed from Tribal to Chiefdom
🏛️ North dusviazenia Tribe changed from Tribal to Chiefdom
🏛️ Ransolgrad Kingdom changed from Kingdom to Dictatorship
🏛️ New terlingrad Tribe changed from Dictatorship to Democracy
🏛️ New zenzenlinstan Tribe changed from Chiefdom to Kingdom
🏛️ Old marsol Tribe changed from Chiefdom to Kingdom
🏛️ Lorsolmarland Kingdom changed from Kingdom to Dictatorship
🏛️ North dusromstan Tribe changed from Chiefdom to Kingdom
🏛️ New romvia Tribe changed from Kingdom to Dictatorship
🏛️ South linmarlinstan Tribe changed from Tribal to Chiefdom
🏛️ New solgarvialand Tribe changed from Kingdom to Dictatorship
🏛️ North linranlingrad Tribe changed from Chiefdom to Kingdom
🏛️ South terkinquiland Tribe changed from Dictatorship to Democracy
🏛️ Great kinbelgrad Tribe changed from Chiefdom to Kingdom
🏛️ Great solquiviastan Tribe changed from Kingdom to Dictatorship
🏛️ North naviaia Kingdom changed from Democracy to Federation
🏛️ New narangrad Tribe changed from Tribal to Chiefdom
🏛️ South linranlorland Kingdom changed from Dictatorship to Democracy
🏛️ New viaterquiland Tribe changed from Chiefdom to Kingdom
🏛️ Old garlinquiland Kingdom changed from Dictatorship to Democracy
🏛️ Great vialinkinia Tribe changed from Tribal to Chiefdom
🏛️ Great ranlornastan Kingdom changed from Kingdom to Dictatorship
🏛️ Great zenquistan Tribe changed from Chiefdom to Kingdom
🏛️ New lorviastan Tribe changed from Dictatorship to Democracy
🏛️ North solterzenia Kingdom changed from Dictatorship to Democracy
🏛️ Great rannaia Kingdom changed from Dictatorship to Democracy
🏛️ Old mardusgrad Tribe changed from Kingdom to Dictatorship
🏛️ South duslorland Kingdom changed from Democracy to Federation
🏛️ Ransolgrad Kingdom changed from Dictatorship to Democracy
🏛️ Old marsol Tribe changed from Kingdom to Dictatorship
🏛️ New romvia Tribe changed from Dictatorship to Democracy
🏛️ South linmarlinstan Tribe changed from Chiefdom to Kingdom
🏛️ Garsolstan Tribe changed from Chiefdom to Kingdom
🏛️ Great kinbelgrad Tribe changed from Kingdom to Dictatorship
🏛️ Great solquiviastan Tribe changed from Dictatorship to Democracy
🏛️ South garbelia Tribe changed from Chiefdom to Kingdom
🏛️ South linranlorland Kingdom changed from Democracy to Dictatorship
🏛️ Great vialinkinia Tribe changed from Chiefdom to Kingdom
🏛️ Great ranlornastan Kingdom changed from Dictatorship to Democracy
🏛️ Great zenquistan Tribe changed from Kingdom to Dictatorship
🏛️ North terviaquigrad Kingdom changed from Kingdom to Dictatorship
🏛️ Great linsolsol Kingdom changed from Dictatorship to Democracy
🏛️ Ransolgrad Kingdom changed from Democracy to Dictatorship
🏛️ New terlingrad Tribe changed from Democracy to Dictatorship
🏛️ Old lindusbel Tribe changed from Kingdom to Dictatorship
🏛️ Old marsol Tribe changed from Dictatorship to Democracy
🏛️ New solgarvialand Tribe changed from Dictatorship to Democracy
🏛️ South lorkingrad Tribe changed from Chiefdom to Kingdom
🏛️ Great vialinkinia Tribe changed from Kingdom to Dictatorship
🏛️ Great ranlornastan Kingdom changed from Democracy to Federation
🏛️ Great zenquistan Tribe changed from Dictatorship to Democracy
🏛️ Old lorranlingrad Tribe changed from Chiefdom to Kingdom
🏛️ New lorviastan Tribe changed from Democracy to Dictatorship
🏛️ North solterzenia Kingdom changed from Democracy to Dictatorship
🏛️ Great linquigrad Kingdom changed from Kingdom to Dictatorship
🏛️ Great zennalor Tribe changed from Chiefdom to Kingdom
🏛️ South margargaria Tribe changed from Democracy to Dictatorship
🏛️ Great linsolsol Kingdom changed from Democracy to Dictatorship
🏛️ Ransolgrad Kingdom changed from Dictatorship to Democracy
🏛️ New terlingrad Tribe changed from Dictatorship to Democracy
🏛️ Old lindusbel Tribe changed from Dictatorship to Democracy
🏛️ Old marsol Tribe changed from Democracy to Dictatorship
🏛️ Lorsolmarland Kingdom changed from Dictatorship to Democracy
🏛️ New duslorland Tribe changed from Chiefdom to Kingdom
🏛️ New rombelstan Tribe changed from Dictatorship to Democracy
🏛️ New solgarvialand Tribe changed from Democracy to Federation
🏛️ Great kinbelgrad Tribe changed from Dictatorship to Democracy
🏛️ Great solquiviastan Tribe changed from Democracy to Federation
🏛️ South linranlorland Kingdom changed from Dictatorship to Democracy
🏛️ North solterzenia Kingdom changed from Dictatorship to Democracy
🏛️ Great zennalor Tribe changed from Kingdom to Dictatorship
🏛️ New solkinmarland Tribe changed from Dictatorship to Democracy
🏛️ North dusviazenia Tribe changed from Chiefdom to Kingdom
🏛️ Ransolgrad Kingdom changed from Democracy to Dictatorship
🏛️ New terlingrad Tribe changed from Democracy to Dictatorship
🏛️ Old lindusbel Tribe changed from Democracy to Federation
🏛️ Lorsolmarland Kingdom changed from Democracy to Dictatorship
🏛️ New romvia Tribe changed from Democracy to Dictatorship
🏛️ Old terviadus Kingdom changed from Dictatorship to Democracy
🏛️ New rombelstan Tribe changed from Democracy to Federation
🏛️ Great kinbelgrad Tribe changed from Democracy to Dictatorship
🏛️ South linranlorland Kingdom changed from Democracy to Dictatorship
🏛️ New lorviastan Tribe changed from Dictatorship to Democracy
🏛️ North solterzenia Kingdom changed from Democracy to Federation
🏛️ Great bellin Tribe changed from Tribal to Chiefdom
🏛️ Great linsolsol Kingdom changed from Dictatorship to Democracy
🏛️ North dusviazenia Tribe changed from Kingdom to Dictatorship
🏛️ Old terviadus Kingdom changed from Democracy to Dictatorship
🏛️ South terkinquiland Kingdom changed from Kingdom to Dictatorship
🏛️ Great zenquistan Tribe changed from Democracy to Dictatorship
🏛️ New lorviastan Tribe changed from Democracy to Federation
🏛️ Great bellin Tribe changed from Chiefdom to Kingdom
🏛️ Great zennalor Tribe changed from Dictatorship to Democracy
🏛️ South margargaria Tribe changed from Dictatorship to Democracy
🏛️ Old mardusgrad Tribe changed from Dictatorship to Democracy
🏛️ Great linsolsol Kingdom changed from Democracy to Dictatorship
🏛️ Old marsol Tribe changed from Dictatorship to Democracy
🏛️ Lorsolmarland Kingdom changed from Dictatorship to Democracy
🏛️ North naranstan Tribe changed from Chiefdom to Kingdom
🏛️ Old terviadus Kingdom changed from Dictatorship to Democracy
🏛️ South terkinquiland Kingdom changed from Dictatorship to Democracy
🏛️ Great kinbelgrad Tribe changed from Dictatorship to Democracy
🏛️ South linranlorland Kingdom changed from Dictatorship to Democracy
🏛️ Great zenquistan Tribe changed from Dictatorship to Democracy
🏛️ Great bellin Tribe changed from Kingdom to Dictatorship
🏛️ Great linquigrad Kingdom changed from Dictatorship to Democracy
🏛️ Great zennalor Tribe changed from Democracy to Federation
🏛️ South margargaria Tribe changed from Democracy to Dictatorship
🏛️ Old mardusgrad Tribe changed from Democracy to Dictatorship
🏛️ New solkinmarland Tribe changed from Democracy to Dictatorship
🏛️ Old marsol Tribe changed from Democracy to Federation
🏛️ New romvia Tribe changed from Dictatorship to Democracy
🏛️ Old terviadus Kingdom changed from Democracy to Federation
🏛️ South terkinquiland Kingdom changed from Democracy to Federation
🏛️ South linranlorland Kingdom changed from Democracy to Federation
🏛️ Great vialinkinia Tribe changed from Dictatorship to Democracy
🏛️ Great linquigrad Kingdom changed from Democracy to Dictatorship
🏛️ Great linsolsol Kingdom changed from Dictatorship to Democracy
🏛️ North dusviazenia Tribe changed from Dictatorship to Democracy
🏛️ New romvia Tribe changed from Democracy to Dictatorship
🏛️ Great vialinkinia Tribe changed from Democracy to Dictatorship
🏛️ Great zenquistan Tribe changed from Democracy to Federation
🏛️ Great bellin Tribe changed from Dictatorship to Democracy
🏛️ Great linquigrad Kingdom changed from Dictatorship to Democracy
🏛️ Great linsolsol Kingdom changed from Democracy to Federation
🏛️ New solkinmarland Kingdom changed from Kingdom to Dictatorship
🏛️ New terlingrad Tribe changed from Dictatorship to Democracy
🏛️ Lorsolmarland Kingdom changed from Democracy to Dictatorship
🏛️ New romvia Tribe changed from Dictatorship to Democracy
🏛️ Great kinbelgrad Tribe changed from Democracy to Dictatorship
🏛️ Old solkinquistan Tribe changed from Chiefdom to Kingdom
🏛️ Great bellin Tribe changed from Democracy to Dictatorship
🏛️ Great linquigrad Kingdom changed from Democracy to Federation
🏛️ South margargaria Tribe changed from Dictatorship to Democracy
🏛️ Old mardusgrad Tribe changed from Dictatorship to Democracy
🏛️ North dusviazenia Tribe changed from Democracy to Dictatorship
🏛️ New terlingrad Tribe changed from Democracy to Dictatorship
🏛️ New romvia Tribe changed from Democracy to Federation
🏛️ Great kinbelgrad Tribe changed from Dictatorship to Democracy
🏛️ Great bellin Tribe changed from Dictatorship to Democracy
🏛️ South margargaria Tribe changed from Democracy to Dictatorship
🏛️ Old mardusgrad Tribe changed from Democracy to Dictatorship
🏛️ North dusviazenia Tribe changed from Dictatorship to Democracy
🏛️ Great vialinkinia Tribe changed from Dictatorship to Democracy
🏛️ Great bellin Tribe changed from Democracy to Federation
🏛️ New terlingrad Tribe changed from Dictatorship to Democracy
🏛️ Great kinbelgrad Tribe changed from Democracy to Dictatorship
🏛️ Old solkinquistan Tribe changed from Kingdom to Dictatorship
🏛️ Old mardusgrad Tribe changed from Dictatorship to Democracy
🏛️ New solkinmarland Kingdom changed from Dictatorship to Democracy
🏛️ Old solkinquistan Tribe changed from Dictatorship to Democracy
🏛️ Great vialinkinia Tribe changed from Democracy to Federation
🏛️ South margargaria Tribe changed from Dictatorship to Democracy
🏛️ New solkinmarland Kingdom changed from Democracy to Federation
🏛️ North dusviazenia Tribe changed from Democracy to Federation
🏛️ Great kinbelgrad Tribe changed from Dictatorship to Democracy
🏛️ Old solkinquistan Tribe changed from Democracy to Dictatorship
🏛️ Great vialinkinia Kingdom changed from Kingdom to Dictatorship
🏛️ South margargaria Tribe changed from Democracy to Dictatorship
🏛️ Old mardusgrad Tribe changed from Democracy to Dictatorship
🏛️ Great kinbelgrad Tribe changed from Democracy to Dictatorship
🏛️ Great vialinkinia Kingdom changed from Dictatorship to Democracy
🏛️ South margargaria Tribe changed from Dictatorship to Democracy
🏛️ New terlingrad Tribe changed from Democracy to Dictatorship
🏛️ Lorsolmarland Kingdom changed from Dictatorship to Democracy
🏛️ Great vialinkinia Kingdom changed from Democracy to Dictatorship
🏛️ Old mardusgrad Tribe changed from Dictatorship to Democracy
🏛️ Lorsolmarland Kingdom changed from Democracy to Federation
🏛️ Great kinbelgrad Tribe changed from Dictatorship to Democracy
🏛️ Great vialinkinia Kingdom changed from Dictatorship to Democracy
🏛️ Old mardusgrad Tribe changed from Democracy to Federation
🏛️ Great kinbelgrad Tribe changed from Democracy to Federation
🏛️ Great vialinkinia Kingdom changed from Democracy to Federation
🏛️ Old solkinquistan Tribe changed from Dictatorship to Democracy
🏛️ South margargaria Tribe changed from Democracy to Federation
🏛️ Old solkinquistan Tribe changed from Democracy to Dictatorship
🏛️ Great zenquistan Kingdom changed from Kingdom to Dictatorship
🏛️ New ranlordusland Kingdom changed from Kingdom to Dictatorship
🏛️ New ranlordusland Kingdom changed from Dictatorship to Democracy
🏛️ Old solkinquistan Tribe changed from Dictatorship to Democracy
🏛️ Great zenquistan Kingdom changed from Dictatorship to Democracy
🏛️ New ranlordusland Kingdom changed from Democracy to Dictatorship
Wrote C:\WS\WorldSimulation10028\out\tech_seed_search\seed_69\run_summary.json, C:\WS\WorldSimulation10028\out\tech_seed_search\seed_69\timeseries.csv, C:\WS\WorldSimulation10028\out\tech_seed_search\seed_69\run_meta.json, C:\WS\WorldSimulation10028\out\tech_seed_search\seed_69\violations.json
COMMAND:
C:\WS\WorldSimulation10028\out\cmake\release\bin\worldsim_cli.exe --seed 69 --config C:\WS\WorldSimulation10028\data\sim_config.toml --startYear -5000 --endYear -4000 --checkpointEveryYears 50 --outDir C:\WS\WorldSimulation10028\out\tech_seed_search\seed_69 --techUnlockLog C:\WS\WorldSimulation10028\out\tech_seed_search\seed_69\tech_unlocks.csv --techUnlockLogIncludeInitial 1 --stopOnTechId 5

